Director (1),AVERAGE of Box Office Revenue ($),AVERAGE of Budget ($),Average Profit
The Erwin Brothers,"$14,400,000.00","$13,000,000.00","$1,400,000.00"
Ken Scott,"$14,400,000.00","$35,000,000.00","-$20,600,000.00"
Jerrica Cleland,"$12,800,000.00","$20,000,000.00","-$7,200,000.00"
Alex Kurtzman,"$12,400,000.00","$16,000,000.00","-$3,600,000.00"
Jennifer Westfeldt,"$12,200,000.00","$10,000,000.00","$2,200,000.00"
J. C. Chandor,"$12,000,000.00","$20,000,000.00","-$8,000,000.00"
Courtney Solomon,"$11,800,000.00","$18,000,000.00","-$6,200,000.00"
Josh Schwartz,"$11,400,000.00","$14,000,000.00","-$2,600,000.00"
Seth Rogen,"$11,300,000.00","$44,000,000.00","-$32,700,000.00"
Noah Baumbach,"$11,300,000.00","$3,000,000.00","$8,300,000.00"
Greg McLean,"$10,900,000.00","$4,000,000.00","$6,900,000.00"
